covariable,rho
s5p_no2,0.7988241639739001
altitud,-0.2662864275915041
artificial_1000m,0.8673090808741686
artificial_5000m,0.836617902860031
industrial_5000m,0.806887613824331
urbano_denso_1000m,0.6430272817236561
transporte_1000m,0.5033770520098206
tierra_5000m,-0.12659509285482629
