modelo,AIC,logLik,parametro,delta_AIC
SDM,69.67112094017321,-25.8355604700866,0.3068226162811422,0
SEM,69.91982541107285,-28.959912705536425,0.4462360993233132,0.24870447089963932
OLS,72.57244904948634,-31.28622452474317,NA,2.901328109313127
SAR,74.561465696708,-31.280732848354,0.01961560596107236,4.8903447565347875
