fid,levl_code,cntr_code,name_latn,mount_type,urbn_type,coast_type,shape_leng,cntr_name,shape_Length,shape_Area,NUTS_ID,NUTS_NAME,dens_2015,dens_2019,dens_2021,dens_2022,dens_2023,dens_cambio_pct,n_pixeles,frac_urbano_denso,frac_urbano_disperso,frac_industrial,frac_transporte,frac_otro_artificial,frac_agricola,frac_natural,frac_artificial,area_industrial_km2,area_artificial_km2,n_instalaciones,nox_total_t,n_estaciones,no2_estaciones,no2_fondo,area_km2,dens_instal,nox_por_km2,log_dens_pob,poblacion,n_celdas,no2_areal,no2_poblacion,no2_p90,no2_max,sup_sobre_20,sup_sobre_40,pob_sobre_20,pob_sobre_10,prob_media_20,brecha_exposicion
329,3,ES,Alicante/Alacant,2,1,1,471069.981569,Spain,602822.291658183,9508799739.057726,ES521,Alicante/Alacant,320.3,325,327.8,334.9,342.3,6.868560724320938,581832,0.01868580621210246,0.05521181371942416,0.01607680567586519,0.00144027829339053,0.01037240990526475,0.4506128916938223,0.4475999945001306,0.1017871138060471,93.54,592.23,2,774.9,11,9.002193931958706,7.391625417406026,5818.300414004042,0.3437429932607482,0.1331832227388769,5.83568754553614,1991604.2317135837,1458,4.794090269568343,7.319163070485956,6.674610955503114,18.182703963599696,0,0,0,0.16972234632162347,0.017135030667994,2.525072800917613
343,3,ES,Lleida,2,2,3,780330.455791,Spain,1051283.5825779648,22087020601.099754,ES513,Lleida,35.6,35.8,36,36.7,37.1,4.2134831460674205,1217154,0.00274410633329882,0.00291910473120081,0.00267755764677271,4.4776585378678e-4,0.00209587283121116,0.3903088680643534,0.5986407636174222,0.01088440739627031,32.59,132.48,3,635,4,7.373871126673975,3.8162027187546936,12171.447933843281,0.24647848113931947,0.05217127850782262,3.6136169696133895,451560.71834558574,3043,3.8554157391821575,4.450678112670708,4.453704039628937,14.082074107816362,0,0,0,0.025504158001112047,0.002737374609646419,0.5952623734885507
364,3,ES,Mallorca,4,1,1,442468.440351,Spain,574790.078910858,6143195625.814422,ES532,Mallorca,241.8,256.7,260,256.4,261.2,8.02315963606286,364114,0.01001060107548734,0.03457159021625095,0.00553947390103099,0.0027161822945561,0.00874176768814162,0.5518903420357361,0.38653004278879693,0.06157961517546703,20.17,224.22,4,1517.04,9,9.68608834579823,6.328045994607292,3641.252447122348,1.0985231202964705,0.41662587860363937,5.565286397402276,951095.1391883572,907,4.452791151015238,6.830688590445994,5.559847220286761,17.91757201768578,0,0,0,0.17901338551208165,0.0269133199588853,2.3778974394307557
365,3,ES,Menorca,4,2,1,174071.98442599998,Spain,227061.53353806605,1185249114.8390038,ES533,Menorca,134.1,140.8,142.6,141.7,144.6,7.829977628635354,69533,0.009117972761135,0.0351056332964204,0.00450145973854141,0.00372485007118921,0.00408439158385227,0.43084578545438856,0.5126199070944731,0.05653430745113831,3.13,39.31,1,2231.75,3,7.893358221840604,7.712073397516051,695.5161238265905,1.4377811897417994,3.2087681702062607,4.973971309724664,100571.63150532499,173,4.242998979207361,5.380928741236393,5.046949314749695,8.392396254866565,0,0,0,0,2.1780863007153978e-4,1.1379297620290325
400,3,ES,Badajoz,4,2,3,1045628.83191,Spain,1343342.7533539436,35795032795.07377,ES431,Badajoz,32.1,31.5,31.4,31.2,31.2,-2.8037383177570208,2176247,0.00388053378132169,0.00358139494276155,0.00345457110337199,8.0000110281599e-4,0.00139735976660737,0.7236687747300743,0.26321736457304706,0.01311386069687861,75.18,285.39,5,1485.5,7,5.981976085078259,5.981976085078259,21762.360514035245,0.22975448811149599,0.06826005841792546,3.4404180948154366,678985.6480378996,5441,3.922584960957686,4.524547646211894,4.241083829319071,21.071244820896677,1.837897445322551e-4,0,0.006528556096253346,0.020417199214417894,0.006317013570319508,0.6019626852542079
430,3,ES,Córdoba,4,1,3,719722.632716,Spain,912192.795189723,22212710603.35918,ES613,Córdoba,58.2,57.5,57.4,56.9,56.8,-2.4054982817869552,1377255,0.0045844814504213,0.00528369837103513,0.00493735727951613,0.00117334843583795,0.0021092680730874,0.7353155370646685,0.24659630932543355,0.01808815360989795,68,249.12000000000003,7,2380.5333333333333,3,16.362578369133455,12.09929858091204,13772.485132137752,0.5082597608811843,0.17284704325281267,4.039536325727106,782277.1555054242,3444,3.9684605848210714,4.816760575069157,4.161387585714153,13.403200207876743,0,0,0,0.028987977439030862,0.0011746596951072738,0.8482999902480857
431,3,ES,Cáceres,4,2,3,907057.772767,Spain,1179171.975653855,33617743155.226013,ES432,Cáceres,20.7,20,19.9,19.9,19.9,-3.8647342995169143,1986802,0.00246828823405653,0.0021094200629957,0.00211243999150393,9.5832397994364e-4,8.989320526152e-4,0.4898102578918282,0.5016423377870568,0.00854740432111503,41.97,169.82,1,170,3,5.339904310119076,5.339904310119076,19868.151472971236,0.05033180874226807,0.008556407486185573,2.990719731730447,395376.21431212756,4963,3.889322765067752,4.135782928522583,4.002969356128386,12.622090134830586,0,0,0,0.010196004726383172,3.4544000854147994e-4,0.2464601634548309
432,3,ES,Valencia/València,2,1,1,701457.506606,Spain,909122.9259459845,18110505217.146004,ES523,Valencia/València,234,237.7,239.3,245,249.7,6.709401709401708,1080827,0.01220824424260311,0.02057776128834679,0.01389121478275431,0.00182082794008661,0.00463811507299503,0.39565536390190104,0.5512084727713131,0.05313616332678587,150.14,574.3100000000001,7,2389.9833333333336,21,12.259653774588632,7.272030368345616,10808.449016935481,0.6476414876021416,0.22112176590633217,5.520260197285728,2698869.7195287896,2696,4.517618190419689,7.180338186422421,5.750518696545375,32.160568495815305,3.70919881305638e-4,0,1.7116897983468393e-4,0.1936370920641836,0.02137624008329233,2.662719996002733
435,3,ES,Almería,2,2,1,533391.621836,Spain,671152.6467441539,13859521628.198757,ES611,Almería,79.1,81.1,81.9,85.2,86.4,9.228824273072078,877793,0.0045557437801395,0.00673279463381457,0.00508775987049338,0.00114149919172287,0.0057542040093735,0.32193808790910844,0.6547899106053477,0.02327200148554386,44.66,204.28,3,1918.6666666666667,9,9.024081873766193,8.862596780917222,8777.956048587806,0.3417652108753311,0.218577839310934,4.45898767581001,758415.4025979865,2190,4.109675279298084,5.1072794311544305,4.912100004873359,22.464948132240504,4.5662100456621003e-4,0,0.017900713454134246,0.055924732207871815,0.01279722342003323,0.9976041518563461
442,3,ES,Guadalajara,3,2,3,768424.2379859999,Spain,1014890.2529985659,21338550594.560036,ES424,Guadalajara,21,21.4,21.7,22.4,22.8,8.571428571428585,1221033,6.5845886229119e-4,0.00648139730867224,0.00226938993458817,2.9073743297683e-4,9.2053204131256e-4,0.3325815109010158,0.6567979735191433,0.010620515579841,27.71,129.68,1,186.4,3,10.266035401543066,10.266035401543066,12210.432910266592,0.08189717820399267,0.015265634017224234,3.126760535960395,278397.8703540783,3052,3.8949103168849386,4.209866767515826,4.3469418289650585,16.91115386986661,0,0,0,0.024462978337335642,0.0032034591200660297,0.3149564506308873
449,3,ES,Huelva,4,2,1,592746.694992,Spain,747605.9954912164,16154961215.497019,ES615,Huelva,52.7,52.8,53.1,53.4,53.7,1.8975332068311257,1012929,0.00524321053104413,0.00389859506441221,0.00302587841793452,2.428600622551e-4,0.00780804972510412,0.38824043935952074,0.5915409668397291,0.0202185938007501,30.65,204.8,10,4235.35,13,8.443010115333472,4.029997139961713,10128.99574422254,0.9872647054574865,0.41814115702593657,3.983413001514819,543927.0714647505,2536,4.0643636081436885,4.8542869186695885,4.515758760047641,15.688899413591825,0,0,0,0.03589803235009124,0.004533830402550991,0.7899233105259
455,3,ES,Valladolid,4,2,3,687637.452772,Spain,921671.0555906012,14530484015.56046,ES418,Valladolid,65,64.3,64.3,64.2,64.7,-0.4615384615384577,811022,0.00148331364623894,0.01310075435684851,0.00689130504474601,0.00180266379950235,0.00248821856867014,0.8021533324620047,0.1720804121219893,0.02576625541600597,55.89,208.97,0,0,9,13.48237524415341,NA,8110.077077858054,0,0,4.169761201506855,524721.9869374161,2031,4.06567085959353,5.231207019513366,4.348396149192758,19.826834118881187,0,0,0,0.08444003339812324,0.027671911783444834,1.1655361599198368
467,3,ES,Salamanca,4,2,3,667482.557555,Spain,882524.8481407758,21578544776.801094,ES415,Salamanca,27.8,27,26.9,26.6,26.7,-3.9568345323741094,1235080,0.00111733652880785,0.0074707711241377,0.00134647148362859,0.00149059170256177,0.00199987045373579,0.6181129967289568,0.36846196197817144,0.01342504129287171,16.63,165.81,1,104,3,7.484561569033834,5.871628037680056,12350.866224751968,0.08096598099297138,0.008420462023269024,3.2846635654062037,329768.1282008775,3096,3.7970545499283923,4.110191128842645,4.154025038693114,11.901511311135542,0,0,0,0.024717918794949764,5.482714238502945e-4,0.31313657891425306
471,3,ES,Albacete,4,2,3,730041.61425,Spain,938196.0958284653,24625214149.325207,ES421,Albacete,26.5,26.2,26.1,26,26.1,-1.5094339622641506,1492353,0.002069885610174,0.00317753239347527,0.00275337001366298,9.6022857862717e-4,0.00108754430084571,0.569307663803403,0.4206437752998118,0.01004856089678514,41.09,149.96,2,1981.7,1,8.86028947234591,8.86028947234591,14923.556591771934,0.13401631090424485,0.132790061659471,3.261935314328648,389504.8270452475,3731,3.7814437766013023,4.284019796823429,3.8742401699071176,17.37440727499745,0,0,0,0.016032344278815374,0.002359839055351292,0.502576020222127
