magnitud,rama,datos_usados,km,razon
Diámetro efectivo del distrito industrial,Objetivo 3 — proceso puntual (Thomas),solo coordenadas de instalaciones,10.719592248384087,0.9328713040841119
Escala óptima de influencia sobre la concentración,Objetivo 4 — acoplamiento (barrido de sigma),instalaciones + estaciones de fondo,10,0.9328713040841119
