modelo,n,RMSE,MAE,sesgo,R2,RMSE_log,cobertura95,ESD
Kriging ordinario,212,5.565278268979832,4.393407102136854,0.9325177646946293,0.4814091587923641,0.6347967061217176,0.9150943396226415,1.263184247379596
Kriging con deriva externa,212,3.656854335354249,2.72277316567568,0.15645573615429678,0.7760936572170347,0.40895480366156545,0.910377358490566,1.2254083310119492
