join_id,tipo,area,no2_media,pred_fondo,recargo
SP_01022001_8_8,traffic,suburban,3.781306206197036,5.276638711327679,-1.4953325051306425
SP_01036004_8_8,traffic,suburban,15.72781632663947,10.56152045075655,5.16629587588292
SP_01059008_8_8,traffic,urban,17.16545873741417,19.588801789517433,-2.423343052103263
SP_01059009_8_8,traffic,urban,15.688161747672616,18.631164215331783,-2.9430024676591664
SP_01059012_8_8,traffic,urban,11.107758080263157,17.761126620761416,-6.65336854049826
SP_03014006_8_8,traffic,urban,17.74215885949492,11.427219856035997,6.314939003458925
SP_03014009_8_8,industrial,suburban,7.075578828664468,9.499463239683276,-2.4238844110188085
SP_03065007_8_8,traffic,urban,10.809040582611075,15.530225344991475,-4.7211847623804
SP_03133002_8_8,traffic,urban,11.655977058933114,11.536421809533653,0.11955524939946116
SP_04013004_8_8,traffic,urban,20.24314411953711,18.30916005041427,1.9339840691228396
SP_04024001_8_8,industrial,urban,11.166976589701626,7.080084248628589,4.086892341073037
SP_04032005_8_8,industrial,urban,6.426500557873363,6.792148672762141,-0.3656481148887778
SP_04035002_8_8,industrial,rural,5.85054780822084,3.4428419230006426,2.4077058852201976
SP_04066003_8_8,industrial,suburban,5.139909412188432,4.346685713587051,0.7932236986013814
SP_04066009_8_8,industrial,suburban,5.801868033622692,4.656978693034654,1.1448893405880378
SP_07026001_8_8,industrial,urban,13.22779103769823,7.4341654436532965,5.793625594044934
SP_07026002_8_8,industrial,urban,9.685149514185934,17.955144790980206,-8.269995276794273
SP_07032002_8_8,industrial,urban,9.090402497849498,8.07615461345117,1.014247884398328
SP_07032003_8_8,industrial,suburban,6.877598770156262,7.870648226649047,-0.993049456492785
SP_07040002_8_8,traffic,urban,23.55027381536227,17.322001504887925,6.228272310474345
SP_07040006_8_8,industrial,urban,19.32819933457076,10.478333981744651,8.849865352826107
SP_08019043_8_8,traffic,urban,34.56374616331496,24.069556703324032,10.494189459990928
SP_08019044_8_8,traffic,urban,29.133844068984725,23.236191064421902,5.897653004562823
SP_08074005_8_8,industrial,suburban,8.925900564121438,9.53300788895667,-0.6071073248352317
SP_08096014_8_8,traffic,urban,25.479463984990712,21.397241949421982,4.08222203556873
SP_08102005_8_8,industrial,suburban,13.920823014205522,11.706867763019517,2.2139552511860057
SP_08113007_8_8,traffic,urban,17.408494596611266,14.716793749811837,2.6917008467994297
SP_08124009_8_8,traffic,suburban,30.425489649887783,18.83123869580969,11.594250954078092
SP_08125002_8_8,traffic,suburban,31.53952158044999,16.27917242129812,15.260349159151868
SP_08157003_8_8,industrial,suburban,15.994850556253947,12.136047830404925,3.8588027258490225
SP_08187012_8_8,traffic,urban,26.79299467082443,18.274033798510484,8.518960872313947
SP_08194008_8_8,traffic,urban,27.296581207353725,25.044926475156554,2.2516547321971707
SP_08196001_8_8,traffic,urban,28.06032692882067,26.245949883742938,1.8143770450777303
SP_08251003_8_8,industrial,rural,10.049492174492174,7.118329340730172,2.931162833762002
SP_08260010_8_8,traffic,suburban,26.088133475640163,19.107333335235985,6.9808001404041775
SP_08263007_8_8,industrial,suburban,20.570908232089497,22.72980079940926,-2.1588925673197643
SP_08279011_8_8,traffic,urban,29.62282755742057,18.958569683236576,10.664257874183996
SP_08307012_8_8,traffic,suburban,13.725674607065786,14.330316372840743,-0.6046417657749572
SP_09018002_8_8,traffic,urban,10.417906502650643,10.080568377400162,0.337338125250481
SP_09059003_8_8,traffic,urban,8.1204973883511,21.39185855609082,-13.271361167739721
SP_09219002_8_8,industrial,urban,12.115774327938428,12.29422899669095,-0.17845466875252214
