modelo,nugget,sill_parcial,sill_total,pepita_rel,rango_par_km,rango_practico_km,kappa,SCE
Gau,0.07339974423184868,0.6896508401238431,0.7630505843556918,0.09619250117451426,41.77853569549433,71.1186609152288,0.5,1.8633871319410892e-8
Sph,0.038022545601887864,0.8319704403398778,0.8699929859417657,0.04370442775550487,126.0490706468463,101.72626181545387,0.5,2.2742007277360004e-8
Exp,0.03565065836578731,1.5829760282459642,1.6186266866117516,0.022025250578571846,148.22162270516222,440.81046786696675,0.5,2.3894941017743488e-8
